ticker,success,is_banking,model_used,lifecycle_stage,lifecycle_sub,value_per_share_tl,market_price_tl,upside_pct,damodaran_verdict,equity_value_tl,shares_outstanding,wacc,normalized_margin,periods_fetched,items_mapped,errors
TUPRS,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",187.10,271.00,-30.96,SAT,360.51B,1926795598,12.81%,4.50%,16,12,
PETKM,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",-3.76,24.12,-115.57,SAT,-9.82B,2613000000,12.09%,5.69%,16,12,
EREGL,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",58.54,37.68,55.36,AL,204.89B,3500000000,12.06%,17.62%,16,12,
KRDMD,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",25.08,39.90,-37.13,SAT,23.83B,950000000,13.29%,8.98%,16,12,
TRALT,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",157.88,42.06,275.37,AL,24.08B,152500000,16.27%,44.12%,16,12,
TRMET,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",69.14,119.10,-41.95,SAT,21.09B,305000000,15.75%,33.44%,16,12,
BIMAS,False,False,industrial_fcff,mature_stable,stable,,781.00,,UNKNOWN,,,,4.91%,16,12,Current revenue is None | DCF execution returned None
MGROS,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",185.28,683.50,-72.89,SAT,33.54B,181000000,12.18%,1.89%,16,12,
SOKM,True,False,industrial_fcff,mature_stable,"stable,capital_intensive",-125.23,54.05,-331.69,SAT,-76.64B,612000000,12.28%,-4.31%,12,12,
CCOLA,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",317.51,84.85,274.20,AL,80.77B,254370782,10.38%,11.73%,16,12,
TOASO,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",114.90,312.50,-63.23,SAT,57.45B,500000000,12.67%,7.47%,16,12,
FROTO,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",294.34,99.00,197.32,AL,103.29B,350910000,11.91%,7.14%,16,12,
ARCLK,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",176.78,113.50,55.75,AL,119.45B,675728205,10.25%,7.68%,16,12,
ASELS,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",95.65,434.00,-77.96,SAT,109.04B,1140000000,14.21%,21.70%,16,12,
THYAO,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",-110.81,309.75,-135.77,SAT,-152.92B,1380000000,10.47%,7.73%,16,12,
PGSUS,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",-1082.76,184.30,-687.50,SAT,-110.74B,102271525,9.22%,9.02%,16,12,
ENKAI,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",31.86,110.50,-71.16,SAT,191.18B,6000000000,12.08%,16.78%,16,12,
TCELL,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",146.79,117.70,24.72,IZLE-AL,322.95B,2200000000,11.40%,24.97%,16,12,
TTKOM,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",70.54,65.65,7.44,BEKLE,246.87B,3500000000,11.67%,23.52%,16,12,
AEFES,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",249.42,20.02,1145.85,AL,147.68B,592105263,11.75%,10.80%,16,12,
ULKER,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",103.98,129.10,-19.45,IZLE-SAT,39.93B,384000000,9.45%,9.93%,16,12,
AKSA,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",132.59,11.00,1105.35,AL,24.53B,185000000,12.63%,12.06%,16,12,
HEKTS,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",-0.70,3.68,-118.94,SAT,-1.00B,1440000000,11.50%,12.54%,16,12,
NETAS,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",-64.70,67.25,-196.21,SAT,-4.21B,65000000,6.04%,-1.22%,16,12,
TAVHL,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",85.84,289.75,-70.37,SAT,31.18B,363281250,9.92%,19.61%,16,12,
AKSGY,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",9.36,9.40,-0.40,BEKLE,11.23B,1200000000,13.97%,68.10%,16,12,
AKSEN,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",2.10,88.60,-97.63,SAT,2.58B,1226750000,11.15%,13.27%,16,12,
BIZIM,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",19.12,29.80,-35.84,SAT,1.15B,60000000,9.33%,0.44%,16,12,
MAVI,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",137.06,43.86,212.49,AL,27.24B,198750000,12.85%,10.86%,12,12,
LOGO,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",235.06,155.00,51.65,AL,5.88B,25000000,14.39%,22.43%,16,12,
ASUZU,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",-7.14,69.85,-110.23,SAT,-0.21B,30000000,11.68%,2.44%,16,12,
TKFEN,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",15.15,142.00,-89.33,SAT,5.61B,370000000,11.90%,2.12%,16,12,
VESTL,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",-112.81,28.24,-499.48,SAT,-42.25B,374500000,9.86%,2.17%,16,12,
OYAKC,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",93.63,24.54,281.55,AL,43.07B,460000000,14.38%,24.56%,16,12,
KARSN,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",1.45,11.72,-87.60,SAT,1.05B,720000000,10.02%,8.13%,16,12,
DOHOL,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",7.79,24.64,-68.38,SAT,20.39B,2616938288,11.96%,5.14%,16,12,
SMRTG,False,False,young_firm_dcf,high_growth,"cyclical,capital_intensive",,8.41,,UNKNOWN,,,,,8,12,Model young_firm_dcf orchestration TBD (Faz 2.3.x)
CWENE,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",56.06,38.88,44.18,AL,8.13B,145000000,12.01%,13.61%,8,12,
KCAER,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",60.26,12.46,383.65,AL,17.48B,290000000,11.63%,12.21%,8,12,
KONTR,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",-2.82,9.75,-128.88,SAT,-1.52B,540000000,9.32%,15.06%,8,12,
ENJSA,True,False,industrial_fcff,mature_stable,"stable,capital_intensive",167.99,117.50,42.97,AL,198.44B,1181250000,10.87%,14.48%,12,12,
INFO,True,False,cyclical_dcf,mature_growth,cyclical,96.62,3.63,2561.84,AL,10.63B,110000000,9.71%,3.32%,16,12,
OTKAR,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",406.82,374.75,8.56,BEKLE,9.76B,24000000,8.32%,11.34%,16,12,
KORDS,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",39.97,65.70,-39.16,SAT,7.77B,194500000,10.03%,8.75%,16,12,
PARSN,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",-24.84,84.45,-129.41,SAT,-2.36B,95000000,12.17%,7.86%,16,12,
VESBE,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",123.36,7.10,1637.51,AL,23.44B,190000000,12.28%,7.20%,16,12,
TKNSA,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",39.63,23.30,70.10,AL,6.54B,165000000,11.47%,1.08%,16,12,
PRKAB,True,False,cyclical_dcf,mature_stable,cyclical,8.32,38.84,-78.58,SAT,1.11B,134000000,13.90%,0.51%,16,12,
KAPLM,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",-0.09,665.00,-100.01,SAT,-0.02B,200000000,12.42%,3.21%,16,12,
ISMEN,True,False,industrial_fcff,mature_stable,"stable,asset_light",236.34,43.02,449.37,AL,49.63B,210000000,14.01%,0.82%,16,12,
BOSSA,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",11.52,6.48,77.74,AL,2.53B,220000000,12.58%,13.61%,16,12,
ARENA,True,False,industrial_fcff,mature_stable,stable,80.30,34.50,132.74,AL,5.06B,63000000,7.61%,2.82%,16,12,
INDES,True,False,industrial_fcff,mature_growth,stable,67.37,10.79,524.36,AL,18.86B,280000000,11.39%,3.32%,16,12,
EUREN,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",23.67,5.10,364.06,AL,6.86B,290000000,13.38%,20.46%,8,12,
ECILC,False,False,decline_dcf,decline,"cyclical,capital_intensive",,85.75,,UNKNOWN,,,,,16,12,Model decline_dcf orchestration TBD (Faz 2.3.x)
TUKAS,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",-1.74,2.55,-168.42,SAT,-0.10B,60000000,12.53%,8.54%,16,12,
